"","Guinea","Guinea","Guinea","Guinea"
""," Situation report"," Situation report"," Patient database"," Patient database"
""," New"," New"," New"," New"
"Epi week"," Confirmed"," Probable"," Confirmed"," Probable"
"30 December 2013 to 05 January 2014 (2014-W01)","","","0","2"
"06 to 12 January 2014 (2014-W02)","","","0","0"
"13 to 19 January 2014 (2014-W03)","","","0","0"
"20 to 26 January 2014 (2014-W04)","","","0","5"
"27 January to 02 February 2014 (2014-W05)","","","0","3"
"03 to 09 February 2014 (2014-W06)","","","0","5"
"10 to 16 February 2014 (2014-W07)","","","0","3"
"17 to 23 February 2014 (2014-W08)","","","0","5"
"24 February to 02 March 2014 (2014-W09)","","","1","8"
"03 to 09 March 2014 (2014-W10)","","","2","6"
"10 to 16 March 2014 (2014-W11)","","","11","15"
"17 to 23 March 2014 (2014-W12)","","","11","6"
"24 to 30 March 2014 (2014-W13)","","","24","6"
"31 March to 06 April 2014 (2014-W14)","","","21","5"
"07 to 13 April 2014 (2014-W15)","","","27","0"
"14 to 20 April 2014 (2014-W16)","","","16","0"
"21 to 27 April 2014 (2014-W17)","","","11","0"
"28 April to 04 May 2014 (2014-W18)","","","3","9"
"05 to 11 May 2014 (2014-W19)","","","8","3"
"12 to 18 May 2014 (2014-W20)","","","6","2"
"19 to 25 May 2014 (2014-W21)","","","23","4"
"26 May to 01 June 2014 (2014-W22)","","","36","14"
"02 to 08 June 2014 (2014-W23)","","","24","4"
"09 to 15 June 2014 (2014-W24)","","","29","5"
"16 to 22 June 2014 (2014-W25)","","","18","0"
"23 to 29 June 2014 (2014-W26)","","","22","2"
"30 June to 06 July 2014 (2014-W27)","","","2","2"
"07 to 13 July 2014 (2014-W28)","","","5","1"
"14 to 20 July 2014 (2014-W29)","","","5","3"
"21 to 27 July 2014 (2014-W30)","","","32","11"
"28 July to 03 August 2014 (2014-W31)","","","13","14"
"04 to 10 August 2014 (2014-W32)","","","21","0"
"11 to 17 August 2014 (2014-W33)","","","40","4"
"18 to 24 August 2014 (2014-W34)","","","75","2"
"25 to 31 August 2014 (2014-W35)","","","95","9"
"01 to 07 September 2014 (2014-W36)","","","101","4"
"08 to 14 September 2014 (2014-W37)","","","79","15"
"15 to 21 September 2014 (2014-W38)","77","1","81","1"
"22 to 28 September 2014 (2014-W39)","117","9","121","10"
"29 September to 05 October 2014 (2014-W40)","95","4","96","7"
"06 to 12 October 2014 (2014-W41)","137","10","131","13"
"13 to 19 October 2014 (2014-W42)","102","0","110","5"
"20 to 26 October 2014 (2014-W43)","75","9","82","14"
"27 October to 02 November 2014 (2014-W44)","93","0","90","7"
"27 October to 09 November 2014 (2014-W45)","145","3","153","9"
"10 to 16 November 2014 (2014-W46)","81","4","93","7"
"17 to 23 November 2014 (2014-W47)","148","6","149","21"
"24 to 30 November 2014 (2014-W48)","77","0","85","7"
"01 to 07 December 2014 (2014-W49)","96","7","110","11"
"08 to 14 December 2014 (2014-W50)","76","43","75","14"
"15 to 21 December 2014 (2014-W51)","156","0","169","47"
"22 to 28 December 2014 (2014-W52)","115","12","103","7"
"29 December 2014 to 04 January 2015 (2015-W01)","74","7","69","9"
"05 to 11 January 2015 (2015-W02)","42","2","42","16"
"12 to 18 January 2015 (2015-W03)","20","2","19","3"
"19 to 25 January 2015 (2015-W04)","30","1","32","16"
"26 January to 01 February 2015 (2015-W05)","39","2","41","7"
"02 to 08 February 2015 (2015-W06)","65","1","64","7"
"09 to 15 February 2015 (2015-W07)","52","0","51","9"
"16 to 22 February 2015 (2015-W08)","35","0","37","2"
"23 February to 01 March 2015 (2015-W09)","51","0","53","0"
"02 to 08 March 2015 (2015-W10)","58","0","58","1"
"09 to 15 March 2015 (2015-W11)","95","0","94","1"
"16 to 22 March 2015 (2015-W12)","45","1","44","2"
"23 to 29 March 2015 (2015-W13)","57","0","55","1"
"30 March to 05 April 2015 (2015-W14)","21","0","21","2"
"06 to 12 April 2015 (2015-W15)","28","0","31","1"
"13 to 19 April 2015 (2015-W16)","19","0","16","1"
"20 to 26 April 2015 (2015-W17)","22","0","22","0"
"27 April to 03 May 2015 (2015-W18)","9","0","9","1"
"04 to 10 May 2015 (2015-W19)","7","0","7","0"
"11 to 17 May 2015 (2015-W20)","27","4","27","6"
"18 to 24 May 2015 (2015-W21)","9","0","9","0"
"25 to 31 May 2015 (2015-W22)","13","0","13","0"
"01 to 07 June 2015 (2015-W23)","12","0","12","0"
"08 to 14 June 2015 (2015-W24)","10","0","10","1"
"15 to 21 June 2015 (2015-W25)","12","0","13","7"
"22 to 28 June 2015 (2015-W26)","12","0","11","1"
"29 June to 05 July 2015 (2015-W27)","18","0","18","0"
"06 to 12 July 2015 (2015-W28)","13","0","13","0"
"13 to 19 July 2015 (2015-W29)","22","0","22","0"
"20 to 26 July 2015 (2015-W30)","4","0","4","1"
"27 July to 02 August 2015 (2015-W31)","1","0","1","0"
"03 to 09 August 2015 (2015-W32)","2","0","2","0"
"10 to 16 August 2015 (2015-W33)","3","0","3","0"
"17 to 23 August 2015 (2015-W34)","3","0","3","0"
"24 to 30 August 2015 (2015-W35)","2","0","2","0"
"31 August to 06 September 2015 (2015-W36)","1","0","1","0"
"07 to 13 September 2015 (2015-W37)","0","0","0","0"
"14 to 20 September 2015 (2015-W38)","2","1","2","1"
"21 to 27 September 2015 (2015-W39)","4","0","4","0"
"28 September to 04 October 2015 (2015-W40)","0","0","0","0"
"05 to 11 October 2015 (2015-W41)","0","0","0","0"
"12 to 18 October 2015 (2015-W42)","3","0","3","0"
"19 to 25 October 2015 (2015-W43)","3","0","3","0"
"26 October to 01 November 2015 (2015-W44)","1","0","1","0"
"02 to 08 November 2015 (2015-W45)","0","0","0","0"
"09 to 15 November 2015 (2015-W46)","0","0","0","0"
"16 to 22 November 2015 (2015-W47)","0","0","0","0"
"23 to 29 November 2015 (2015-W48)","0","0","0","0"
"30 November to 06 December 2015 (2015-W49)","0","0","0","0"
"07 to 13 December 2015 (2015-W50)","0","0","0","0"
"14 to 20 December 2015 (2015-W51)","0","0","0","0"
"21 to 27 December 2015 (2015-W52)","0","0","0","0"
"28 December 2015 to 03 January 2016 (2015-W53)","0","0","0","0"
"04 to 10 January 2016 (2016-W01)","0","0","0","0"
"11 to 17 January 2016 (2016-W02)","0","0","0","0"
"18 to 24 January 2016 (2016-W03)","0","0","0","0"
"25 to 31 January 2016 (2016-W04)","0","0","0","0"
"01 to 07 February 2016 (2016-W05)","0","0","0","0"
"08 to 14 February 2016 (2016-W06)","0","0","0","0"
"15 to 21 February 2016 (2016-W07)","0","0","0","0"
"22 to 28 February 2016 (2016-W08)","0","0","0","0"
"29 February to 06 March 2016 (2016-W09)","0","0","0","0"
"07 to 13 March 2016 (2016-W10)","0","0","0","0"
"14 to 20 March 2016 (2016-W11)","2","3","0","0"
"21 to 27 March 2016 (2016-W12)","2","0","0","0"
"28 March to 03 April 2016 (2016-W13)","2","0","0","0"
"04 to 10 April 2016 (2016-W14)","1","0","0","0"
"11 to 17 April 2016 (2016-W15)","0","0","0","0"
"18 to 24 April 2016 (2016-W16)","0","0","0","0"
"25 April to 01 May 2016 (2016-W17)","0","0","0","0"
"02 to 08 May 2016 (2016-W18)","0","0","0","0"
