"","Liberia","Liberia","Liberia","Liberia"
""," Situation report"," Situation report"," Patient database"," Patient database"
""," New"," New"," New"," New"
"Epi week"," Confirmed"," Probable"," Confirmed"," Probable"
"30 December 2013 to 05 January 2014 (2014-W01)","","","",""
"06 to 12 January 2014 (2014-W02)","","","",""
"13 to 19 January 2014 (2014-W03)","","","",""
"20 to 26 January 2014 (2014-W04)","","","",""
"27 January to 02 February 2014 (2014-W05)","","","",""
"03 to 09 February 2014 (2014-W06)","","","",""
"10 to 16 February 2014 (2014-W07)","","","",""
"17 to 23 February 2014 (2014-W08)","","","",""
"24 February to 02 March 2014 (2014-W09)","","","",""
"03 to 09 March 2014 (2014-W10)","","","",""
"10 to 16 March 2014 (2014-W11)","","","",""
"17 to 23 March 2014 (2014-W12)","1","","1","0"
"24 to 30 March 2014 (2014-W13)","0","","1","0"
"31 March to 06 April 2014 (2014-W14)","2","","2","1"
"07 to 13 April 2014 (2014-W15)","0","","0","1"
"14 to 20 April 2014 (2014-W16)","0","","0","1"
"21 to 27 April 2014 (2014-W17)","0","","0","0"
"28 April to 04 May 2014 (2014-W18)","1","","1","0"
"05 to 11 May 2014 (2014-W19)","4","","4","0"
"12 to 18 May 2014 (2014-W20)","0","","0","0"
"19 to 25 May 2014 (2014-W21)","0","","1","0"
"26 May to 01 June 2014 (2014-W22)","0","","0","0"
"02 to 08 June 2014 (2014-W23)","3","","3","0"
"09 to 15 June 2014 (2014-W24)","15","","17","1"
"16 to 22 June 2014 (2014-W25)","26","","28","1"
"23 to 29 June 2014 (2014-W26)","25","","28","0"
"30 June to 06 July 2014 (2014-W27)","20","","22","4"
"07 to 13 July 2014 (2014-W28)","27","","33","5"
"14 to 20 July 2014 (2014-W29)","23","","27","9"
"21 to 27 July 2014 (2014-W30)","66","","84","5"
"28 July to 03 August 2014 (2014-W31)","59","","84","25"
"04 to 10 August 2014 (2014-W32)","79","","161","62"
"11 to 17 August 2014 (2014-W33)","140","","219","110"
"18 to 24 August 2014 (2014-W34)","265","","344","131"
"25 to 31 August 2014 (2014-W35)","255","","334","124"
"01 to 07 September 2014 (2014-W36)","248","","364","118"
"08 to 14 September 2014 (2014-W37)","321","","320","184"
"15 to 21 September 2014 (2014-W38)","352","241","311","202"
"22 to 28 September 2014 (2014-W39)","442","193","322","132"
"29 September to 05 October 2014 (2014-W40)","358","149","212","103"
"06 to 12 October 2014 (2014-W41)","389","117","184","97"
"13 to 19 October 2014 (2014-W42)","316","211","128","74"
"20 to 26 October 2014 (2014-W43)","258","78","74","50"
"27 October to 02 November 2014 (2014-W44)","132","106","91","37"
"27 October to 09 November 2014 (2014-W45)","129","103","101","38"
"10 to 16 November 2014 (2014-W46)","87","90","86","33"
"17 to 23 November 2014 (2014-W47)","70","60","59","34"
"24 to 30 November 2014 (2014-W48)","64","61","55","32"
"01 to 07 December 2014 (2014-W49)","53","72","55","16"
"08 to 14 December 2014 (2014-W50)","37","36","38","4"
"15 to 21 December 2014 (2014-W51)","23","19","19","2"
"22 to 28 December 2014 (2014-W52)","31","19","33","1"
"29 December 2014 to 04 January 2015 (2015-W01)","9","41","8","1"
"05 to 11 January 2015 (2015-W02)","8","22","4","0"
"12 to 18 January 2015 (2015-W03)","8","15","12","2"
"19 to 25 January 2015 (2015-W04)","4","10","6","1"
"26 January to 01 February 2015 (2015-W05)","5","6","7","5"
"02 to 08 February 2015 (2015-W06)","4","3","3","1"
"09 to 15 February 2015 (2015-W07)","5","1","8","3"
"16 to 22 February 2015 (2015-W08)","1","11","1","3"
"23 February to 01 March 2015 (2015-W09)","0","2","0","1"
"02 to 08 March 2015 (2015-W10)","0","2","1","0"
"09 to 15 March 2015 (2015-W11)","0","0","0","0"
"16 to 22 March 2015 (2015-W12)","1","0","1","1"
"23 to 29 March 2015 (2015-W13)","0","0","0","1"
"30 March to 05 April 2015 (2015-W14)","0","0","",""
"06 to 12 April 2015 (2015-W15)","0","0","",""
"13 to 19 April 2015 (2015-W16)","0","0","",""
"20 to 26 April 2015 (2015-W17)","0","0","",""
"27 April to 03 May 2015 (2015-W18)","0","0","",""
"04 to 10 May 2015 (2015-W19)","0","0","",""
"11 to 17 May 2015 (2015-W20)","0","0","",""
"18 to 24 May 2015 (2015-W21)","0","0","",""
"25 to 31 May 2015 (2015-W22)","0","0","",""
"01 to 07 June 2015 (2015-W23)","0","0","",""
"08 to 14 June 2015 (2015-W24)","0","0","",""
"15 to 21 June 2015 (2015-W25)","0","0","",""
"22 to 28 June 2015 (2015-W26)","0","0","",""
"29 June to 05 July 2015 (2015-W27)","3","1","",""
"06 to 12 July 2015 (2015-W28)","3","1","",""
"13 to 19 July 2015 (2015-W29)","0","1","",""
"20 to 26 July 2015 (2015-W30)","0","0","",""
"27 July to 02 August 2015 (2015-W31)","0","0","",""
"03 to 09 August 2015 (2015-W32)","0","0","",""
"10 to 16 August 2015 (2015-W33)","0","0","",""
"17 to 23 August 2015 (2015-W34)","0","0","",""
"24 to 30 August 2015 (2015-W35)","0","0","",""
"31 August to 06 September 2015 (2015-W36)","0","0","",""
"07 to 13 September 2015 (2015-W37)","0","0","",""
"14 to 20 September 2015 (2015-W38)","0","0","",""
"21 to 27 September 2015 (2015-W39)","0","0","",""
"28 September to 04 October 2015 (2015-W40)","0","0","",""
"05 to 11 October 2015 (2015-W41)","0","0","",""
"12 to 18 October 2015 (2015-W42)","0","0","",""
"19 to 25 October 2015 (2015-W43)","0","0","",""
"26 October to 01 November 2015 (2015-W44)","0","0","",""
"02 to 08 November 2015 (2015-W45)","0","0","",""
"09 to 15 November 2015 (2015-W46)","0","0","",""
"16 to 22 November 2015 (2015-W47)","3","0","",""
"23 to 29 November 2015 (2015-W48)","0","0","",""
"30 November to 06 December 2015 (2015-W49)","0","0","",""
"07 to 13 December 2015 (2015-W50)","0","0","",""
"14 to 20 December 2015 (2015-W51)","0","0","",""
"21 to 27 December 2015 (2015-W52)","0","0","",""
"28 December 2015 to 03 January 2016 (2015-W53)","0","0","",""
"04 to 10 January 2016 (2016-W01)","0","0","",""
"11 to 17 January 2016 (2016-W02)","0","0","",""
"18 to 24 January 2016 (2016-W03)","0","0","",""
"25 to 31 January 2016 (2016-W04)","0","0","",""
"01 to 07 February 2016 (2016-W05)","0","0","",""
"08 to 14 February 2016 (2016-W06)","0","0","",""
"15 to 21 February 2016 (2016-W07)","0","0","",""
"22 to 28 February 2016 (2016-W08)","0","0","",""
"29 February to 06 March 2016 (2016-W09)","0","0","",""
"07 to 13 March 2016 (2016-W10)","0","0","",""
"14 to 20 March 2016 (2016-W11)","0","0","",""
"21 to 27 March 2016 (2016-W12)","0","0","",""
"28 March to 03 April 2016 (2016-W13)","2","0","",""
"04 to 10 April 2016 (2016-W14)","1","0","",""
"11 to 17 April 2016 (2016-W15)","0","0","",""
"18 to 24 April 2016 (2016-W16)","0","0","",""
"25 April to 01 May 2016 (2016-W17)","0","0","",""
"02 to 08 May 2016 (2016-W18)","0","0","",""
